,Climate_region,Income_binary,Country_Name,Country_Code,Region,Income_group,Population,Land_area,Forest_area,Precipitation,Population_density,Capital_lat,GNP_per_Cap,Population_growth,Cereal_yield,Female_life_expectancy,Under_5_mortality,Renewables,CO2,PM25,Women_in_parliament,GINI_index,Govt_spend_education,Secondary_school_enrolment,School_gender_parity
42,Tropical,High,Costa Rica,CRI,Latin America & Caribbean,Upper middle income,4795396,51060,53.3842548,2926,93.9168821,10,10090,1.11747392,4497.5,81.989,9.2,37.8425411,1.618087849,17.54363411,33.3,48.6,6.86952,120.1272,1.02212
43,Tropical,High,Cuba,CUB,Latin America & Caribbean,Upper middle income,11306902,104020,30.2480283,1335,108.6993078,22,6840,0.2140984,2813.7,80.5,5.5,18.7984429,3.080994246,21.29623433,48.9,NA,NA,97.00201,0.98282
44,Temperate or Polar,High,Cyprus,CYP,Europe & Central Asia,High income,1152285,9240,18.6937225,498,124.7061688,35,26670,0.73331743,291,82.391,2.9,9.36329568,5.260461605,18.29352737,12.5,35.6,6.37474,99.41673,1.00446
45,Temperate or Polar,High,Czech Republic,CZE,Europe & Central Asia,High income,10525347,77220,34.5117845,677,136.30338,50,18800,0.10527758,6219.8,82,3.1,14.8307421,9.165978376,17.39121549,19.5,25.9,3.99462,104.6972,1.00286
46,Temperate or Polar,High,Germany,DEU,Europe & Central Asia,High income,80982500,348900,32.7228432,700,232.1080539,51,47620,0.41687736,8050.3,83.6,3.9,13.3788782,8.889370395,12.75122057,36.5,NA,4.92086,99.71072,0.96531
47,Tropical,Low,Djibouti,DJI,Middle East & North Africa,Lower middle income,898696,23180,0.24158757,220,38.77031924,12,NA,1.72878549,1933,65.021,67.4,34.1510475,0.803830216,41.25972754,12.7,NA,NA,46.17198,1.00177
48,Tropical,High,Dominica,DMA,Latin America & Caribbean,Upper middle income,71085,750,58.1333313,2083,94.78,15,6750,0.09711403,1624.1,0,29.8,8.61179767,1.908686783,21.01030747,12.9,NA,NA,90.72413,0.99576
49,Temperate or Polar,High,Denmark,DNK,Europe & Central Asia,High income,5643475,41990,14.4601094,703,134.4004525,56,63670,0.50705328,6752.1,82.8,4.2,30.2716313,5.935712482,11.06670453,39.1,28.4,7.63485,129.3282,1.01689
50,Tropical,High,Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,10165178,48310,40.3601749,1410,210.4156075,19,6330,1.15720555,3020,76.273,32.1,18.0190203,2.11899467,14.1880737,20.8,44.3,NA,80.14461,0.9852
51,Tropical,High,Algeria,DZA,Middle East & North Africa,Upper middle income,38923687,2381740,0.8180574,89,16.34254243,28,5490,2.03359245,1369.2,77.085,25.3,0.06864048,3.735520147,35.56391718,31.6,NA,NA,NA,NA
